Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Light;Magnetic_x;Magnetic_y;Magnetic_z;Proximity;Latitude;Longitude;Elevation;Speed
20181024_194415;0.272;0.901;9.765;0.044;-0.135;-0.008;0.0;-28.621;39.084;-0.130;5.0;19.17081;72.95431;-56.3;0.0
20181024_194415;0.236;0.872;9.775;-0.003;0.005;-0.002;0.0;-27.437;41.534;-0.490;5.0;19.17089;72.95426;-56.3;0.0
20181024_194416;0.231;0.872;9.772;-0.002;0.006;-0.001;0.0;-28.313;40.178;1.067;5.0;19.17089;72.95426;-56.3;0.0
20181024_194416;0.155;0.226;9.842;-0.013;0.001;0.002;0.0;-26.698;39.935;0.934;5.0;19.17086;72.95426;-55.5;0.0
20181024_194417;0.231;0.772;9.792;-0.003;0.005;0.001;0.0;-26.416;40.538;-0.398;5.0;19.17086;72.95426;-55.5;0.0
20181024_194417;0.282;0.829;9.744;-0.003;0.007;-0.002;0.0;-28.795;39.735;1.633;5.0;19.17088;72.95424;-55.2;0.0
20181024_194418;0.248;0.896;9.765;-0.002;0.009;-0.001;0.0;-27.974;39.845;1.045;5.0;19.17088;72.95424;-55.2;0.0
20181024_194418;0.248;0.886;9.756;-0.003;0.004;-0.001;0.0;-26.353;39.928;2.339;5.0;19.17088;72.95424;-54.9;0.0
20181024_194419;0.260;1.013;9.842;-0.002;0.001;0.006;0.0;-27.090;39.964;2.013;5.0;19.17088;72.95424;-54.9;0.0
20181024_194419;0.327;0.867;9.739;0.000;0.007;0.001;0.0;-28.300;40.179;1.378;5.0;19.17088;72.95425;-54.7;0.0
20181024_194420;0.293;1.097;9.729;-0.001;0.009;0.001;0.0;-27.478;39.345;0.702;5.0;19.17088;72.95425;-54.7;0.0
20181024_194420;0.272;1.133;9.751;-0.004;0.005;-0.002;0.0;-27.014;40.891;0.394;5.0;19.17088;72.95425;-55.8;0.0
20181024_194421;0.322;1.291;9.713;-0.002;0.008;-0.012;0.0;-27.406;41.539;0.287;5.0;19.17088;72.95425;-55.8;0.0
20181024_194421;0.286;0.578;9.739;-0.007;0.015;-0.021;0.0;-26.849;40.103;1.411;5.0;19.17087;72.95425;-55.6;0.0
20181024_194422;0.250;0.779;9.710;0.001;0.013;-0.010;0.0;-28.445;40.968;0.826;5.0;19.17087;72.95425;-55.6;0.0
20181024_194422;0.322;0.906;9.729;-0.003;-0.006;-0.013;0.0;-29.097;40.694;1.402;5.0;19.17087;72.95425;-56.0;0.0
20181024_194423;0.320;0.965;9.835;-0.003;0.005;-0.018;0.0;-28.705;40.826;0.961;5.0;19.17087;72.95425;-56.0;0.0
20181024_194423;0.353;1.195;9.741;-0.001;-0.004;-0.034;0.0;-29.495;39.778;2.238;5.0;19.17087;72.95425;-57.1;0.0
20181024_194424;0.325;1.045;9.813;0.000;-0.001;-0.056;0.0;-30.397;39.494;0.169;5.0;19.17087;72.95425;-57.1;0.0
20181024_194424;0.444;1.001;9.859;-0.005;-0.009;-0.067;0.0;-31.763;38.315;0.952;5.0;19.17087;72.95424;-59.1;0.0
20181024_194425;0.466;1.437;9.753;0.005;-0.010;-0.090;0.0;-30.710;37.323;1.820;5.0;19.17087;72.95424;-59.1;0.0
20181024_194425;0.320;1.614;9.634;0.027;0.023;-0.106;0.0;-33.231;34.613;0.102;5.0;19.17088;72.95424;-60.7;2.0
20181024_194426;0.344;1.502;9.739;-0.001;-0.005;-0.071;0.0;-33.211;33.672;0.482;5.0;19.17088;72.95424;-60.7;2.0
20181024_194426;0.059;0.520;9.734;-0.006;-0.011;-0.004;0.0;-33.241;33.992;0.977;5.0;19.17089;72.95424;-61.7;3.4
20181024_194427;0.169;0.762;9.634;-0.006;0.021;0.025;0.0;-34.952;35.651;0.616;5.0;19.17089;72.95424;-61.7;3.4
20181024_194427;0.138;0.645;9.667;0.005;0.010;0.036;0.0;-33.562;36.377;2.275;5.0;19.17089;72.95425;-61.7;3.3
20181024_194428;0.485;1.102;9.693;0.008;0.002;0.034;0.0;-33.913;36.383;0.714;5.0;19.17089;72.95425;-61.7;3.3
20181024_194428;0.327;1.001;9.756;-0.001;-0.008;0.033;0.0;-36.136;37.920;1.414;5.0;19.17090;72.95425;-60.9;3.2
20181024_194429;0.327;1.492;9.732;0.021;0.012;0.030;0.0;-36.752;39.375;2.463;5.0;19.17090;72.95425;-60.9;3.2
20181024_194429;0.193;1.964;9.502;-0.004;0.020;0.044;0.0;-37.846;38.016;2.151;5.0;19.17090;72.95426;-59.7;3.8
