"","","","","",""
"20181024_194415","0.272","0.901","9.765","19.17081","72.95431"
"20181024_194415","0.236","0.872","9.775","19.17089","72.95426"
"20181024_194416","0.231","0.872","9.772","19.17089","72.95426"
"20181024_194416","0.155","0.226","9.842","19.17086","72.95426"
"20181024_194417","0.231","0.772","9.792","19.17086","72.95426"
"20181024_194417","0.282","0.829","9.744","19.17088","72.95424"
"20181024_194418","0.248","0.896","9.765","19.17088","72.95424"
"20181024_194418","0.248","0.886","9.756","19.17088","72.95424"
"20181024_194419","0.26","1.013","9.842","19.17088","72.95424"
"20181024_194419","0.327","0.867","9.739","19.17088","72.95425"
"20181024_194420","0.293","1.097","9.729","19.17088","72.95425"
"20181024_194420","0.272","1.133","9.751","19.17088","72.95425"
"20181024_194421","0.322","1.291","9.713","19.17088","72.95425"
"20181024_194421","0.286","0.578","9.739","19.17087","72.95425"
"20181024_194422","0.25","0.779","9.71","19.17087","72.95425"
"20181024_194422","0.322","0.906","9.729","19.17087","72.95425"
"20181024_194423","0.32","0.965","9.835","19.17087","72.95425"
"20181024_194423","0.353","1.195","9.741","19.17087","72.95425"
"20181024_194424","0.325","1.045","9.813","19.17087","72.95425"
"20181024_194424","0.444","1.001","9.859","19.17087","72.95424"
"20181024_194425","0.466","1.437","9.753","19.17087","72.95424"
"20181024_194425","0.32","1.614","9.634","19.17088","72.95424"
"20181024_194426","0.344","1.502","9.739","19.17088","72.95424"
"20181024_194426","0.059","0.52","9.734","19.17089","72.95424"
"20181024_194427","0.169","0.762","9.634","19.17089","72.95424"
"20181024_194427","0.138","0.645","9.667","19.17089","72.95425"
"20181024_194428","0.485","1.102","9.693","19.17089","72.95425"
"20181024_194428","0.327","1.001","9.756","19.1709","72.95425"
"20181024_194429","0.327","1.492","9.732","19.1709","72.95425"
"20181024_194429","0.193","1.964","9.502","19.1709","72.95426"
"20181024_194430","0.241","1.669","9.921","19.1709","72.95426"
"20181024_194430","0.255","0.982","9.813","19.17091","72.95428"
"20181024_194431","0.176","0.786","9.904","19.17091","72.95428"
"20181024_194431","0.236","0.484","9.947","19.17092","72.95429"
"20181024_194432","0.277","0.07","9.95","19.17092","72.95429"
"20181024_194433","0.346","0.64","9.713","19.17092","72.95431"
"20181024_194433","0.248","0.63","9.679","19.17092","72.95431"
"20181024_194434","0.15","0.41","10.041","19.17093","72.95432"
"20181024_194434","0.298","0.3","9.851","19.17093","72.95432"
"20181024_194435","0.349","0.257","9.868","19.17094","72.95433"
"20181024_194435","0.279","-0.251","9.866","19.17094","72.95433"
"20181024_194436","0.32","1.04","9.739","19.17094","72.95434"
"20181024_194436","0.267","0.973","9.684","19.17094","72.95434"
"20181024_194437","0.351","0.942","9.897","19.17094","72.95434"
"20181024_194437","0.277","0.954","9.861","19.17094","72.95434"
"20181024_194438","0.262","0.836","9.777","19.17094","72.95434"
"20181024_194438","0.255","0.803","10.053","19.17094","72.95434"
"20181024_194439","0.313","0.927","9.796","19.17094","72.95435"
"20181024_194439","0.226","1.44","9.344","19.17094","72.95435"
"20181024_194440","0.284","1.624","9.748","19.17093","72.95435"
"20181024_194440","0.207","1.552","9.686","19.17093","72.95435"
"20181024_194441","0.174","1.626","9.701","19.17094","72.95435"
"20181024_194441","0.337","0.956","9.792","19.17094","72.95435"
"20181024_194442","0.202","1.176","10.036","19.17094","72.95435"
"20181024_194442","0.27","1.234","9.339","19.17095","72.95436"
"20181024_194443","0.399","1.066","9.88","19.17095","72.95436"
"20181024_194443","0.37","0.408","9.938","19.17096","72.95437"
"20181024_194444","0.487","0.108","9.995","19.17096","72.95437"
"20181024_194444","0.277","0.573","10.108","19.17097","72.95438"
"20181024_194445","0.396","0.132","9.808","19.17097","72.95438"
"20181024_194445","0.31","0.568","9.928","19.17097","72.95439"
"20181024_194446","0.301","0.709","9.832","19.17097","72.95439"
"20181024_194446","0.337","1.712","9.866","19.17098","72.9544"
"20181024_194447","0.356","1.574","9.643","19.17098","72.9544"
"20181024_194447","0.38","1.473","9.902","19.17098","72.95441"
"20181024_194448","0.667","1.638","9.782","19.17098","72.95441"
"20181024_194448","0.547","1.744","9.44","19.17099","72.95442"
"20181024_194449","0.423","0.764","9.94","19.17099","72.95442"
"20181024_194449","0.459","0.599","9.751","19.171","72.95443"
"20181024_194450","0.466","0.75","9.823","19.171","72.95443"
"20181024_194450","0.806","-0.773","10.081","19.17101","72.95445"
"20181024_194451","0.382","-0.627","10.024","19.17101","72.95445"
"20181024_194451","0.286","0.621","9.734","19.17102","72.95446"
"20181024_194452","0.085","0.649","9.856","19.17102","72.95446"
"20181024_194452","0.305","2.103","8.621","19.17102","72.95447"
"20181024_194453","0.21","1.765","9.495","19.17102","72.95447"
"20181024_194453","0.26","2.117","9.722","19.17103","72.95447"
"20181024_194454","0.282","2.191","9.485","19.17103","72.95447"
"20181024_194454","-0.049","-0.011","9.624","19.17103","72.95448"
"20181024_194455","0.341","0.736","9.863","19.17103","72.95448"
"20181024_194455","0.183","1.171","9.899","19.17105","72.9545"
"20181024_194456","0.349","0.896","10.017","19.17105","72.9545"
"20181024_194456","0.2","1.176","9.847","19.17106","72.95451"
"20181024_194457","0.181","1.375","9.598","19.17106","72.95451"
"20181024_194458","0.044","0.958","9.796","19.17107","72.95453"
"20181024_194458","-0.008","0.652","9.978","19.17107","72.95453"
"20181024_194459","0.389","0.159","10.062","19.17109","72.95454"
"20181024_194459","0.214","0.25","10.103","19.17109","72.95454"
"20181024_194500","0.428","-0.54","9.842","19.1711","72.95455"
"20181024_194500","0.205","-0.124","9.933","19.1711","72.95455"
"20181024_194501","0.315","0.57","9.741","19.17111","72.95456"
"20181024_194501","0.305","0.671","9.696","19.17111","72.95456"
"20181024_194502","0.353","0.693","9.796","19.17112","72.95457"
"20181024_194502","0.248","0.029","10.017","19.17112","72.95457"
"20181024_194503","0.351","1.521","9.76","19.17112","72.95457"
"20181024_194503","0.327","1.226","9.756","19.17112","72.95457"
"20181024_194504","0.258","0.726","9.748","19.17112","72.95457"
"20181024_194504","0.392","0.774","9.717","19.17112","72.95457"
"20181024_194505","0.183","1.104","9.727","19.17113","72.95457"
"20181024_194505","0.413","0.958","9.619","19.17113","72.95457"
"20181024_194506","0.389","0.683","9.988","19.17113","72.95458"
"20181024_194506","0.286","2.019","9.638","19.17113","72.95458"
"20181024_194507","0.056","1.305","9.978","19.17114","72.95458"
"20181024_194507","0.126","-0.754","9.94","19.17114","72.95458"
"20181024_194508","0.305","0.635","9.863","19.17115","72.95459"
"20181024_194508","0.217","0.81","9.77","19.17115","72.95459"
"20181024_194509","0.226","1.294","9.818","19.17115","72.95459"
"20181024_194509","0.018","1.54","9.681","19.17116","72.9546"
"20181024_194510","0.066","1.487","9.629","19.17116","72.9546"
"20181024_194510","-0.118","1.226","9.861","19.17117","72.9546"
"20181024_194511","-0.796","1.349","9.964","19.17117","72.9546"
"20181024_194511","-0.482","1.04","9.574","19.17118","72.9546"
"20181024_194512","-0.609","0.815","9.89","19.17118","72.9546"
"20181024_194512","-0.063","0.482","9.696","19.17119","72.9546"
"20181024_194513","-0.518","0.671","10.062","19.17119","72.9546"
"20181024_194513","-0.88","1.514","9.993","19.17121","72.9546"
"20181024_194514","-0.291","2.237","9.047","19.17121","72.9546"
"20181024_194514","-0.216","1.598","9.389","19.17122","72.95458"
"20181024_194515","-0.286","1.99","9.284","19.17122","72.95458"
"20181024_194515","-0.2","1.741","9.006","19.17124","72.95456"
"20181024_194516","-0.25","1.545","9.329","19.17124","72.95456"
"20181024_194516","-0.082","1.44","9.997","19.17125","72.95454"
"20181024_194517","0.092","0.465","9.804","19.17125","72.95454"
"20181024_194517","0.174","0.757","10.172","19.17127","72.95452"
"20181024_194518","-0.042","1.313","9.734","19.17127","72.95452"
"20181024_194518","0.344","0.757","9.904","19.17129","72.9545"
"20181024_194519","-0.401","0.968","9.523","19.17129","72.9545"
"20181024_194519","0.344","1.327","9.404","19.17131","72.95449"
"20181024_194520","0.037","1.289","9.236","19.17131","72.95449"
"20181024_194520","0.04","1.023","10.158","19.17133","72.95447"
"20181024_194521","0.277","1.138","10.167","19.17133","72.95447"
"20181024_194522","0.123","1.15","9.971","19.17135","72.95445"
"20181024_194522","-0.013","0.963","9.49","19.17135","72.95445"
"20181024_194523","0.095","0.944","9.966","19.17137","72.95443"
"20181024_194523","0.578","0.891","9.892","19.17137","72.95443"
"20181024_194524","-0.066","1.234","9.188","19.17139","72.95441"
"20181024_194524","-0.015","1.198","9.739","19.17139","72.95441"
"20181024_194525","-0.056","0.906","9.634","19.17141","72.95439"
"20181024_194525","0.815","0.839","10.093","19.17141","72.95439"
"20181024_194526","1.031","0.961","9.974","19.17143","72.95437"
"20181024_194526","0.389","0.898","9.65","19.17143","72.95437"
"20181024_194527","-0.085","-0.076","9.839","19.17146","72.95434"
"20181024_194527","0.236","-0.019","9.935","19.17146","72.95434"
"20181024_194528","-0.382","0.345","9.677","19.17148","72.95431"
"20181024_194528","0.557","1.018","9.308","19.17148","72.95431"
"20181024_194529","0.226","1.085","9.976","19.17151","72.95429"
"20181024_194529","0.535","1.339","9.873","19.17151","72.95429"
"20181024_194530","0.071","0.977","10.098","19.17152","72.95428"
"20181024_194530","0.507","0.987","9.861","19.17152","72.95428"
"20181024_194531","0.382","1.207","9.777","19.17154","72.95426"
"20181024_194531","-0.166","1.159","10.184","19.17154","72.95426"
"20181024_194532","0.102","1.375","10.033","19.17155","72.95425"
"20181024_194532","0.533","1.322","9.555","19.17155","72.95425"
"20181024_194533","0.202","1.808","9.461","19.17157","72.95423"
"20181024_194533","0.262","1.861","9.768","19.17157","72.95423"
